"Name","CommonName","LWRconv","LWRa","LWRb"
"Acanthuridae","Surgeonfishes","1","0.02399","2.96"
"Acanthuridae Acanthurus chirurgus","Doctorfish","1","0.01905","2.95"
"Acanthuridae Acanthurus coeruleus","Blue Tang","1","0.02399","2.96"
"Acanthuridae Acanthurus tractus","Ocean Surgeonfish","1","0.01862","2.92"
"Epinephelidae","Groupers","1","0.01175","3.04"
"Epinephelidae Cephalopholis cruentata","Graysby","1","0.01148","3.06"
"Epinephelidae Cephalopholis fulva","Coney","1","0.01175","3.04"
"Epinephelidae Epinephelus adscensionis","Rock Hind","1","0.01175","3.09"
"Epinephelidae Epinephelus guttatus","Red Hind","1","0.01175","3.04"
"Epinephelidae Epinephelus itajara","Jewfish/Goliath Grouper","1","0.01072","3.03"
"Epinephelidae Epinephelus morio","Red Grouper","1","0.01445","3"
"Epinephelidae Epinephelus striatus","Nassau Grouper","1","0.01175","3.04"
"Epinephelidae Mycteroperca acutirostris","Comb Grouper","1","0.00977","3.02"
"Epinephelidae Mycteroperca bonaci","Black Grouper","1","0.00955","3.05"
"Epinephelidae Mycteroperca interstitialis","Yellowmouth Grouper","1","0.00676","3.05"
"Epinephelidae Mycteroperca microlepis","Gag","1","0.01122","3.03"
"Epinephelidae Mycteroperca phenax","Scamp","1","0.01023","3.03"
"Epinephelidae Mycteroperca tigris","Tiger Grouper","1","0.01122","3.05"
"Epinephelidae Mycteroperca venenosa","Yellowfin Grouper","1","0.01122","3.04"
"Lutjanidae","Snappers","1","0.01445","2.98"
"Lutjanidae Lutjanus analis","Mutton Snapper","1","0.0138","2.97"
"Lutjanidae Lutjanus apodus","Schoolmaster","1","0.01445","2.98"
"Lutjanidae Lutjanus buccanella","Blackfin Snapper","1","0.01445","2.97"
"Lutjanidae Lutjanus cyanopterus","Cubera Snapper","1","0.01259","2.99"
"Lutjanidae Lutjanus griseus","Gray Snapper","1","0.01479","2.98"
"Lutjanidae Lutjanus jocu","Dog Snapper","1","0.01514","2.98"
"Lutjanidae Lutjanus mahogoni","Mahogany Snapper","1","0.01698","2.96"
"Lutjanidae Lutjanus synagris","Lane Snapper","1","0.01445","2.97"
"Lutjanidae Ocyurus chrysurus","Yellowtail Snapper","1","0.01479","2.95"
"Scaridae","Parrotfishes","1","0.01096","3.02"
"Scaridae Cryptotomus roseus","Bluelip Parrotfish","1","0.01202","3.13"
"Scaridae Scarus coelestinus","Midnight Parrotfish","1","0.01622","3.05"
"Scaridae Scarus coeruleus","Blue Parrotfish","1","0.01318","3.05"
"Scaridae Scarus guacamaia","Rainbow Parrotfish","1","0.01349","3.03"
"Scaridae Scarus iseri","Striped Parrotfish","1","0.01096","3.02"
"Scaridae Scarus taeniopterus","Princess Parrotfish","1","0.1444","2.385"
"Scaridae Scarus vetula","Queen Parrotfish","1","0.01445","3.04"
"Scaridae Sparisoma atomarium","Greenblotch Parrotfish","1","0.0121","3.0275"
"Scaridae Sparisoma aurofrenatum","Redband Parrotfish","1","0.01072","3.12"
"Scaridae Sparisoma chrysopterum","Redtail Parrotfish","1","0.01072","3.09"
"Scaridae Sparisoma radians","Bucktooth Parrotfish","1","0.00977","3.06"
"Scaridae Sparisoma rubripinne","Yellowtail Parrotfish","1","0.00933","3.04"
"Scaridae Sparisoma viride","Stoplight Parrotfish","1","0.0138","3.04"
